,class
1767,b'0'
2368,b'0'
595,b'0'
67,b'0'
2042,b'0'
2011,b'0'
1552,b'1'
562,b'0'
159,b'1'
1997,b'0'
2448,b'0'
1756,b'0'
1759,b'0'
2012,b'0'
1043,b'0'
605,b'0'
843,b'0'
22,b'0'
2078,b'0'
2323,b'0'
2002,b'0'
1631,b'0'
1783,b'0'
529,b'0'
955,b'0'
844,b'0'
2149,b'0'
817,b'0'
878,b'0'
2271,b'0'
626,b'0'
1435,b'0'
890,b'0'
1796,b'0'
1052,b'0'
2456,b'0'
513,b'0'
1131,b'0'
2548,b'0'
218,b'1'
1905,b'0'
1544,b'0'
2122,b'0'
1003,b'0'
1846,b'0'
1394,b'0'
501,b'0'
2102,b'0'
1378,b'0'
1153,b'0'
826,b'0'
1258,b'0'
2450,b'0'
861,b'0'
571,b'0'
131,b'0'
1068,b'0'
1059,b'0'
1089,b'0'
1392,b'0'
2080,b'0'
371,b'0'
78,b'0'
1034,b'0'
2421,b'0'
536,b'0'
48,b'0'
2135,b'0'
1345,b'0'
1554,b'0'
1925,b'0'
1361,b'0'
1298,b'0'
1996,b'0'
167,b'0'
2284,b'1'
1338,b'0'
2066,b'0'
1169,b'0'
503,b'0'
2541,b'0'
1928,b'0'
2384,b'0'
1443,b'0'
559,b'0'
261,b'0'
1564,b'0'
2086,b'0'
2300,b'0'
1754,b'0'
1517,b'0'
2488,b'0'
1192,b'1'
2404,b'0'
864,b'0'
1060,b'0'
1590,b'0'
1967,b'0'
972,b'0'
1774,b'0'
2209,b'1'
1065,b'0'
379,b'0'
1013,b'0'
2415,b'0'
2336,b'0'
1158,b'0'
793,b'0'
1891,b'0'
1022,b'0'
1823,b'0'
1677,b'0'
1594,b'0'
882,b'0'
1900,b'0'
2547,b'0'
698,b'0'
101,b'0'
39,b'0'
16,b'0'
867,b'0'
1958,b'0'
1416,b'0'
1961,b'0'
1602,b'0'
1272,b'0'
681,b'0'
152,b'0'
2324,b'0'
1509,b'0'
2162,b'0'
2069,b'0'
1018,b'0'
1470,b'0'
2148,b'0'
2433,b'0'
752,b'0'
1743,b'0'
463,b'0'
1892,b'0'
577,b'0'
2333,b'0'
1760,b'0'
984,b'0'
765,b'0'
2487,b'0'
2169,b'0'
151,b'0'
2117,b'0'
464,b'1'
789,b'0'
650,b'0'
2058,b'0'
1296,b'0'
1294,b'0'
2206,b'0'
2072,b'0'
1305,b'0'
1585,b'0'
1204,b'0'
2344,b'0'
2181,b'0'
2026,b'0'
2283,b'0'
2420,b'0'
2001,b'1'
299,b'1'
2244,b'0'
63,b'0'
865,b'0'
668,b'0'
52,b'0'
2465,b'0'
1914,b'0'
123,b'0'
1889,b'0'
2381,b'0'
1478,b'0'
810,b'0'
1992,b'0'
472,b'1'
286,b'0'
2348,b'0'
2233,b'0'
1418,b'0'
12,b'0'
1595,b'0'
625,b'0'
579,b'0'
1377,b'0'
40,b'0'
1765,b'0'
388,b'0'
1271,b'0'
292,b'0'
1108,b'0'
1522,b'0'
829,b'0'
730,b'0'
589,b'1'
1639,b'0'
2568,b'0'
655,b'0'
2057,b'0'
1159,b'0'
2334,b'0'
1662,b'0'
206,b'0'
2279,b'0'
155,b'0'
2377,b'0'
2392,b'0'
1124,b'0'
2131,b'0'
925,b'0'
2138,b'0'
216,b'0'
1499,b'1'
1833,b'0'
1578,b'0'
2021,b'0'
1311,b'0'
1054,b'0'
1882,b'0'
2196,b'0'
1301,b'0'
1551,b'0'
1339,b'0'
2087,b'0'
1582,b'0'
1869,b'0'
1587,b'0'
1787,b'0'
1939,b'0'
2151,b'1'
1917,b'0'
327,b'1'
1445,b'0'
2566,b'0'
2040,b'0'
1527,b'0'
1763,b'0'
126,b'0'
308,b'1'
215,b'0'
480,b'0'
1152,b'0'
684,b'0'
2280,b'0'
886,b'0'
1797,b'0'
1425,b'0'
1189,b'0'
947,b'0'
1324,b'0'
267,b'0'
1673,b'0'
744,b'0'
922,b'0'
138,b'0'
2429,b'0'
1589,b'0'
2174,b'0'
617,b'1'
507,b'0'
1304,b'0'
1351,b'0'
400,b'1'
29,b'0'
910,b'0'
376,b'1'
511,b'0'
211,b'0'
2467,b'0'
673,b'0'
1299,b'0'
731,b'0'
2263,b'0'
1270,b'0'
1002,b'0'
1180,b'0'
1782,b'0'
2402,b'0'
169,b'0'
1229,b'0'
1770,b'0'
1423,b'0'
734,b'0'
392,b'0'
409,b'0'
2225,b'0'
1021,b'0'
738,b'0'
720,b'0'
713,b'0'
1434,b'0'
831,b'0'
2321,b'0'
459,b'0'
613,b'1'
1655,b'0'
992,b'0'
860,b'0'
914,b'0'
664,b'0'
2000,b'0'
467,b'0'
1424,b'0'
117,b'0'
493,b'1'
1680,b'0'
1521,b'1'
710,b'0'
1686,b'1'
2197,b'0'
1822,b'0'
164,b'0'
2394,b'0'
2407,b'0'
2520,b'0'
1618,b'0'
1926,b'0'
2292,b'0'
1165,b'0'
2106,b'0'
1803,b'0'
1363,b'0'
21,b'0'
362,b'0'
1694,b'0'
2077,b'0'
2365,b'0'
353,b'1'
56,b'0'
619,b'0'
2132,b'0'
1319,b'0'
302,b'0'
2028,b'0'
1026,b'0'
560,b'0'
491,b'0'
2385,b'0'
1691,b'0'
1950,b'0'
2515,b'0'
1894,b'0'
761,b'0'
2551,b'0'
1605,b'0'
404,b'1'
667,b'0'
1708,b'0'
1636,b'0'
2115,b'0'
33,b'0'
1082,b'0'
597,b'0'
1049,b'0'
1207,b'0'
663,b'0'
1530,b'0'
2478,b'0'
2486,b'0'
2172,b'0'
1826,b'0'
709,b'1'
753,b'0'
1461,b'0'
2490,b'0'
1651,b'0'
2242,b'0'
455,b'0'
1475,b'0'
1661,b'0'
1741,b'0'
1084,b'0'
2231,b'0'
1864,b'0'
1055,b'0'
920,b'0'
547,b'0'
2389,b'0'
1977,b'0'
582,b'0'
154,b'0'
509,b'0'
1634,b'1'
576,b'0'
1069,b'0'
128,b'0'
196,b'0'
2018,b'0'
628,b'1'
1581,b'0'
2351,b'0'
1495,b'0'
2480,b'0'
2074,b'0'
1004,b'0'
647,b'0'
1930,b'0'
1241,b'0'
840,b'0'
954,b'0'
2459,b'0'
1244,b'0'
1413,b'0'
1172,b'0'
1596,b'0'
2157,b'0'
2553,b'1'
2203,b'0'
1395,b'0'
1300,b'0'
2391,b'0'
2133,b'0'
142,b'0'
640,b'0'
2088,b'0'
674,b'0'
1603,b'0'
1935,b'0'
1231,b'0'
1676,b'0'
694,b'1'
1348,b'0'
646,b'0'
1160,b'0'
1329,b'0'
1929,b'0'
1446,b'0'
2543,b'0'
1740,b'0'
1720,b'0'
219,b'0'
1786,b'0'
2210,b'0'
1735,b'0'
2544,b'0'
1981,b'0'
787,b'0'
1422,b'0'
1221,b'0'
1255,b'0'
2010,b'0'
1976,b'0'
386,b'0'
1280,b'0'
