,seismoacoustic
1698,1
1367,1
1705,1
1127,0
1113,0
2554,0
2556,0
2244,0
2514,0
2209,2
2363,0
1996,1
1036,0
1034,0
590,0
763,1
1093,1
2064,0
596,0
702,0
2414,1
520,0
1594,1
2390,1
1796,0
260,0
60,0
2579,0
2372,0
1908,0
768,1
870,0
1811,1
1896,0
370,0
902,0
2070,0
881,0
164,2
375,0
850,1
1560,1
173,0
345,0
2459,0
1372,1
1680,1
696,1
1433,0
984,0
2054,0
787,0
914,0
2454,0
290,0
815,0
718,0
920,0
1920,0
1826,1
508,1
2407,1
1492,0
2432,0
933,1
1029,0
929,1
1502,0
942,0
921,0
2276,1
2184,2
166,1
1991,1
777,1
522,1
1403,1
2163,0
818,0
2483,0
615,0
2217,2
2455,0
657,1
352,1
1291,0
211,0
1466,1
559,1
1875,1
1180,1
2326,0
2281,1
687,1
1666,0
1397,1
364,0
2113,0
1239,0
189,1
1307,0
125,0
326,1
1973,0
2242,0
2517,0
306,0
2189,2
954,1
2228,1
2268,1
790,0
2426,1
23,0
1787,0
1926,0
1791,0
2153,0
2161,0
1168,1
1475,0
2423,1
2170,0
980,0
336,0
720,0
1975,0
1657,1
1998,1
2018,1
41,0
287,0
2202,2
2518,0
1101,1
1470,0
215,0
1731,0
2264,1
313,0
1266,0
996,0
1212,0
491,0
461,0
1606,0
1053,0
710,0
2223,1
1620,0
2436,0
1925,0
80,1
2061,0
2576,0
626,1
2480,0
2126,0
2529,0
1795,0
994,0
2056,0
462,0
660,0
1450,1
367,0
376,0
2026,1
561,1
1009,0
404,1
1083,0
545,0
1074,0
1839,1
611,1
153,0
292,0
1990,1
719,0
318,0
426,1
1848,1
2366,0
551,1
369,0
28,0
222,1
1014,0
2194,2
2157,0
1330,1
1849,1
303,0
1710,1
1238,0
682,1
1756,0
489,0
985,0
1049,0
1529,1
2220,2
1230,0
184,0
480,0
2304,1
2036,0
1555,1
15,1
2168,0
1073,0
57,0
1304,0
531,1
2160,0
2547,0
2463,0
548,0
843,1
592,0
2037,0
1559,1
1866,1
2052,0
175,0
536,0
1005,0
1919,0
107,0
1232,0
1822,1
1957,0
789,0
54,1
1012,0
457,0
958,1
2072,0
534,1
753,0
960,1
525,0
2298,1
938,0
1306,0
1377,1
1532,1
583,0
2487,0
322,0
1903,0
2112,0
195,0
2041,0
1174,1
2213,2
640,1
1599,0
