,seismoacoustic
1334,1
1357,1
4,0
560,1
2066,0
1422,0
430,1
2357,0
2130,0
2052,0
2323,0
2031,0
2411,1
973,1
589,0
782,1
1831,1
223,1
1867,1
279,1
345,0
1753,0
554,1
213,0
712,0
734,0
1802,1
122,0
2310,0
1209,0
161,2
1929,0
1572,1
2060,0
2332,0
1365,1
2088,0
1893,0
2378,0
614,0
75,0
1922,0
1933,0
2311,0
717,0
2322,0
2448,0
585,0
1154,1
2059,0
705,1
2092,0
645,1
1718,1
269,0
1581,1
1036,0
1531,1
1643,1
198,0
2400,1
1335,1
1617,0
2521,0
1790,0
286,0
1247,0
2105,0
964,0
300,0
1270,0
1716,1
1670,1
607,0
21,0
895,1
2171,0
646,1
627,1
2006,1
2520,0
435,0
2272,1
2532,0
841,0
1265,0
2301,1
1287,0
2478,0
175,0
114,1
1517,0
1606,0
1502,0
1185,1
1317,1
732,0
1601,0
2435,0
105,0
1795,0
611,1
896,1
1983,0
110,1
1898,0
681,1
1587,1
2049,0
1091,1
1525,1
1314,1
1376,1
452,0
2386,1
1496,0
2113,0
1743,0
737,0
962,0
1394,1
2552,0
1919,0
1286,0
1184,1
2553,0
77,0
2230,1
1487,0
1682,1
1041,0
434,0
375,0
113,1
1560,1
321,0
112,1
525,0
80,1
203,1
2020,1
412,0
799,0
369,0
192,1
441,1
2196,2
1882,0
1067,0
1728,0
556,1
1794,0
1461,1
760,1
641,1
1284,0
341,0
753,0
1834,1
885,0
2469,0
569,0
1253,0
1578,1
1942,0
2337,0
177,1
784,1
512,0
1457,1
1292,0
2225,1
1086,0
1809,1
1085,0
1268,0
1897,0
67,0
1649,1
1861,1
758,1
425,1
1889,0
740,0
231,0
802,1
854,1
169,1
862,0
2474,0
2077,0
2264,1
774,0
773,0
2292,1
1611,0
2018,1
493,0
2371,0
1604,0
864,0
1958,0
1246,0
93,0
1672,1
1444,1
2368,0
615,0
2201,2
260,0
285,0
2288,1
2535,0
2330,0
603,0
450,1
1424,0
2026,1
1271,0
1982,0
969,1
2053,0
736,0
1553,1
1675,1
2064,0
735,0
1913,0
208,0
1768,0
2161,0
604,0
1263,0
1881,0
1235,0
338,0
986,0
2110,0
1817,1
2316,0
463,0
8,0
943,0
1355,1
533,1
2158,0
2497,0
1708,1
1593,1
2437,0
2178,1
1017,0
1411,1
668,0
535,1
831,1
843,1
371,0
1243,0
1921,0
602,0
1917,0
277,1
1965,0
50,1
1747,0
436,0
1538,1
2487,0
240,1
83,1
1346,1
2098,0
354,0
1337,1
813,0
1772,0
1899,0
2099,0
499,1
2013,1
1992,1
1762,0
217,0
2328,0
88,0
861,0
1966,0
2207,2
2369,0
1460,1
536,0
928,1
1730,0
935,1
1784,0
1707,1
1269,0
85,0
1598,0
2346,0
1883,0
1037,0
1550,1
401,0
2525,0
2294,1
2269,1
1984,0
453,0
1732,0
2094,0
154,0
599,0
1040,0
2444,0
2555,0
1122,0
1871,1
1869,1
2140,0
2181,1
829,1
2195,2
1415,1
495,0
2108,0
574,0
703,0
991,0
1433,0
1389,1
1973,0
920,0
529,0
2027,1
184,0
473,1
546,0
2559,0
1112,0
1699,1
1828,1
1564,1
1176,1
1851,1
1745,0
1145,1
2235,1
1079,0
729,0
1605,0
629,1
798,0
1099,1
311,0
1064,0
38,0
238,1
2539,0
1117,0
497,1
2045,0
1223,0
23,0
2024,1
847,1
514,0
2010,1
1299,0
24,0
1597,1
1949,0
1863,1
1226,0
303,0
2144,0
672,0
168,1
1175,1
1865,1
356,0
261,0
1885,0
777,1
809,0
34,0
1998,1
1824,1
2544,0
2583,0
2404,1
2349,0
84,1
1536,1
2342,0
254,1
768,1
2307,1
1659,1
2291,1
1976,0
1910,0
624,0
1288,0
344,0
1895,0
1483,0
137,0
343,0
1518,1
1928,0
1561,1
523,1
1190,1
945,0
160,1
637,0
1473,0
974,1
2019,1
265,0
2151,0
2549,0
984,0
1194,1
1231,0
581,0
2217,2
1549,1
880,0
1576,1
1866,1
1380,1
2180,1
1318,1
1815,1
2128,0
981,0
938,0
346,0
2410,1
2462,0
1345,1
410,0
2170,0
2190,2
462,0
2317,0
206,0
422,1
2233,1
1980,0
1186,1
2423,1
235,1
1995,1
443,1
318,0
1242,0
1451,1
1787,0
588,0
